#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
34100;-295352.3819146061;32194.950765462476;197.73586360509577;183.90665329328394;686
34200;-295441.9043755436;32403.94758729427;199.01948622519814;184.03803687669995;686
34300;-295088.84736870765;32569.578361515596;200.0367620216056;184.37376328122596;686
34400;-294584.8311333561;32506.261519535736;199.6478808420429;183.75099387165187;686
34500;-294646.720171442;32598.215766084963;200.21264804687658;183.99802929523273;686
34600;-294393.2312188053;32573.698629847495;200.06206800274617;183.8644470048841;686
34700;-294363.8968071842;32599.643597131944;200.22141754018048;184.13334546494096;686
34800;-294089.51924370765;32523.269725386286;199.75234232411606;184.06443298251403;686
34900;-293942.54658745765;32696.685165139847;200.81743020053278;183.99469772697864;686
35000;-293686.89912652015;32780.849524004036;201.33435325179067;183.99469772697864;686
35100;-293644.9042534733;33373.08522473875;204.971763310146;183.72895396364422;686
35200;-293642.1415581608;33626.88637811015;206.53056644705592;183.80603510556904;685
35300;-293392.0157036686;33874.37385190395;208.0505920472987;183.43879653688737;685
